,HD1_eTconv_PBMCs,HD1_nTconv_PBMCs,HD1_effector_CD8posT_PBMCs,HD1_naive_CD8posT_PBMCs,HD1_nTreg_PBMCs,HD1_eTreg_PBMCs,HD2_eTconv_PBMCs,HD2_nTconv_PBMCs,HD2_effector_CD8posT_PBMCs,HD2_naive_CD8posT_PBMCs,HD2_nTreg_PBMCs,HD2_eTreg_PBMCs,HD3_eTconv_PBMCs,HD3_nTconv_PBMCs,HD3_effector_CD8posT_PBMCs,HD3_naive_CD8posT_PBMCs,HD3_nTreg_PBMCs,HD3_eTreg_PBMCs,NSCLC5_eTconv_TILs,NSCLC5_effector_CD8posT_TILs,NSCLC5_eTreg_TILs,NSCLC6_eTconv_TILs,NSCLC6_effector_CD8posT_TILs,NSCLC6_eTreg_TILs,NSCLC7_eTconv_TILs,NSCLC7_effector_CD8posT_TILs,NSCLC7_eTreg_TILs,NSCLC1_eTconv_PBMCs,NSCLC1_effector_CD8posT_PBMCs,NSCLC1_eTreg_PBMCs,NSCLC1_eTconv_TILs,NSCLC1_effector_CD8posT_TILs,NSCLC1_eTreg_TILs,NSCLC2_eTconv_PBMCs,NSCLC2_effector_CD8posT_PBMCs,NSCLC2_eTreg_PBMCs,NSCLC2_eTconv_TILs,NSCLC2_effector_CD8posT_TILs,NSCLC2_eTreg_TILs,NSCLC3_eTconv_PBMCs,NSCLC3_effector_CD8posT_PBMCs,NSCLC3_eTreg_PBMCs,NSCLC3_eTconv_TILs,NSCLC3_effector_CD8posT_TILs,NSCLC3_eTreg_TILs,NSCLC4_eTconv_PBMCs,NSCLC4_effector_CD8posT_PBMCs,NSCLC4_eTreg_PBMCs,NSCLC4_eTconv_TILs,NSCLC4_effector_CD8posT_TILs,NSCLC4_eTreg_TILs
Adipocytes,0.230513333,0.23573,0.167586667,1,0.041366667,0.196586667,1,1,0.731723333,1,0.722653333,0.14666,1,0.532733333,0.327626667,1,1,0.176236667,0.547896667,1,0.0011,0.578896667,0.061806667,0.506676667,0.5441,0.64626,0.679493333,0.65858,0.01053,1,0.004413333,0.598303333,0.0022,1,0.012303333,1,0.00733,0.262103333,0,0.064066667,0.87808,0.220286667,1,0.154666667,0.01105,1,0.424773333,0.555623333,0.005173333,0.180793333,9.00E-05
Astrocytes,1,1,0.223963333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.051183333,0.15221,0.122213333,0.375006667,0.375006667,1,0.484286667,1,1,1,1,1,0.214016667,0,0.24056,0.287023333,0.288353333,1,0.043303333,0.05995,1,1,1,1,1,0.046406667,1,1,1,1,0.040106667,0.077893333,0
B-cells,0.07535,0.376233333,0.09223,0.083273333,0,0.033666667,0.117893333,0.252943333,0.443966667,0.009,0,0.013026667,0.069716667,0.024486667,0.015156667,0.061973333,7.00E-05,0.034843333,0.663116667,0.173306667,0.008676667,1,0.191243333,0.132593333,0.028426667,0.263396667,0.011433333,1,0.02021,0.08544,0.439046667,1,0.556036667,0.392483333,1,0.14989,0.297553333,0.353706667,0.040236667,0.22598,1,0.272316667,0.052116667,1,0.224396667,0.10417,1,1,0.06845,1,0.01992
Basophils,1,1,0.262946667,0.265846667,0.388576667,0.45282,0.19233,0.66705,0.06692,1,1,0.27676,1,1,0.360423333,1,0.103476667,1,0.133253333,0.077716667,1,0.099533333,0.055953333,0.655223333,0.709743333,0.049503333,0.62975,8.33E-05,0.192006667,0.291716667,1,0.084796667,1,0.221343333,0.142226667,0.34128,0.151633333,0.07453,0.145896667,0.889346667,0.163873333,0.147053333,1,0.09908,1,0.370496667,0.45282,1,0.661733333,0.015256667,0.33109
CD4+ T-cells,0.0198,0.453913333,1,1,0.033873333,0.030086667,0.348483333,0.161773333,1,1,0.033693333,0.140783333,0.128346667,0.50349,1,1,0.065466667,0.014273333,0.201,1,0.28624,0.47568,1,0.413416667,0.149126667,1,0.333703333,1,1,0.098066667,0.053326667,0.593086667,0.03541,0.213833333,1,0.048856667,0,1,0.107763333,0.048626667,1,0.017883333,1.00E-05,1,0.06625,0.060026667,1,0.40368,0,1,0.033503333
CD4+ Tcm,0.002503333,1,1,1,1,1,0.070603333,0.021833333,1,1,1,1,0.00261,0.221196667,1,1,1,1,0.119323333,1,1,1,1,1,0.726756667,1,1,1,1,1,1,1,1,0.000263333,1,1,0.032636667,1,1,0,1,1,0.00261,1,1,1.33E-05,1,1,0.0268,1,1
CD4+ Tem,0,1,0,1,0.641626667,0,0,1,0,1,1,0,0,1,0.000186667,1,1,0,0,0,0,0,0,0,0,0.138506667,0.004573333,0,0,0,0,0.47036,0.246156667,0,0.108846667,0,0,0.27238,0.16741,0,0,0,0,0.10042,0,0,0,0,0,1,0.088123333
CD4+ memory T-cells,0.0158,0.622416667,0.78588,1,0.967616667,0.125933333,0.034056667,0.83676,0.705896667,1,0.703576667,0.08999,0.012053333,0.783136667,0.723813333,1,0.651303333,0.093326667,0.023716667,0.70773,0.321546667,0.008716667,0.52822,0.16061,0.003033333,0.169116667,0.32361,0.169116667,0.559153333,0.111986667,0.000553333,0.51991,0.04178,0.101656667,1,0.541453333,0,0.489943333,0.409886667,0.015156667,0.83781,0.30554,0.00037,1,0.575663333,0.015616667,0.533783333,0.40039,0.005766667,1,0.414396667
CD4+ naive T-cells,0.024666667,0,1,0,0,1,0.144883333,0,1,0,0,1,0.072526667,0,1,0,0,1,0.279023333,1,1,1,1,1,0.603883333,1,1,0.31257,1,1,1,1,1,0.025676667,1,1,0.106516667,1,1,0,1,1,0.022136667,1,1,0.007356667,1,1,0,1,1
CD8+ T-cells,0,0,0,0,0,1,0,0,0,0,0.00122,1,0,0,0,0,0,1,0,0,1,0.787986667,0,1,0.07746,0,1,0,0,1,0,0,1,0,0,1,0.50675,0,1,0,0,1,0.141373333,0,1,0,0,1,0,0,1
CD8+ Tcm,0.13948,1,3.33E-06,0,1,1,0.599446667,1,0,0,1,1,0.18157,1,0,0,1,1,1,0,1,0.68447,0,1,0.916406667,0,1,1,0,1,0.077616667,0,1,1,0.067233333,1,1,0,1,0.49739,0,1,0.947243333,0,1,0.110606667,0,1,0.138926667,0,1
CD8+ Tem,0,1,0,1,1,0.86225,0,1,0,1,1,0.579783333,0,1,0,1,1,0.768866667,0,0,0.157563333,0,0,0,0,0,0.306513333,0,0,1,0,0,0.349223333,0,0,1,0,0,0.218383333,0,0,0.864583333,0,0,0.029163333,0.011213333,0,1,0,0,0.350393333
CD8+ naive T-cells,0.001433333,0,0.19288,0,0.005236667,0,1,0,0.006543333,0,0,0,0.014846667,0,0.02408,0,0,0,1,0,0,0.411193333,0,0.000113333,0,0,0,1,0,0,6.00E-05,0.44514,0,1,0.00341,0.02286,1,0,0.153946667,0.0206,0.027163333,0,1,1,0.022573333,1,0.01046,0,1,0.401636667,1
CLP,0,0,0.03052,0,0.413496667,0,0,5.00E-05,0,0,0,0,0,0,0.000466667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153253333,0,0.00927,0.047086667,0.45675,0.319513333,0,0,0.011523333,0.5977,0.39478,0.154496667,0.229926667,0.011326667,0.068793333,0.020173333,0,1,0.272403333,0.1521
