	HD1_eTconv_PBMCs	HD1_nTconv_PBMCs	HD1_effector_CD8posT_PBMCs	HD1_naive_CD8posT_PBMCs	HD1_nTreg_PBMCs	HD1_eTreg_PBMCs	HD2_eTconv_PBMCs	HD2_nTconv_PBMCs	HD2_effector_CD8posT_PBMCs	HD2_naive_CD8posT_PBMCs	HD2_nTreg_PBMCs	HD2_eTreg_PBMCs	HD3_eTconv_PBMCs	HD3_nTconv_PBMCs	HD3_effector_CD8posT_PBMCs	HD3_naive_CD8posT_PBMCs	HD3_nTreg_PBMCs	HD3_eTreg_PBMCs	NSCLC5_eTconv_TILs	NSCLC5_effector_CD8posT_TILs	NSCLC5_eTreg_TILs	NSCLC6_eTconv_TILs	NSCLC6_effector_CD8posT_TILs	NSCLC6_eTreg_TILs	NSCLC7_eTconv_TILs	NSCLC7_effector_CD8posT_TILs	NSCLC7_eTreg_TILs	NSCLC1_eTconv_PBMCs	NSCLC1_effector_CD8posT_PBMCs	NSCLC1_eTreg_PBMCs	NSCLC1_eTconv_TILs	NSCLC1_effector_CD8posT_TILs	NSCLC1_eTreg_TILs	NSCLC2_eTconv_PBMCs	NSCLC2_effector_CD8posT_PBMCs	NSCLC2_eTreg_PBMCs	NSCLC2_eTconv_TILs	NSCLC2_effector_CD8posT_TILs	NSCLC2_eTreg_TILs	NSCLC3_eTconv_PBMCs	NSCLC3_effector_CD8posT_PBMCs	NSCLC3_eTreg_PBMCs	NSCLC3_eTconv_TILs	NSCLC3_effector_CD8posT_TILs	NSCLC3_eTreg_TILs	NSCLC4_eTconv_PBMCs	NSCLC4_effector_CD8posT_PBMCs	NSCLC4_eTreg_PBMCs	NSCLC4_eTconv_TILs	NSCLC4_effector_CD8posT_TILs	NSCLC4_eTreg_TILs
Adipocytes	0.0194	0.0192	0.0221	0	0.0308	0.0208	0	0	0.005	0	0.0052	0.0231	0	0.0099	0.0159	0	0	0.0217	0.0095	0	0.0438	0.0087	0.0284	0.0106	0.0096	0.007	0.0062	0.0067	0.0376	0	0.0406	0.0082	0.0424	0	0.037	0	0.039	0.0182	0.0547	0.0282	0.0019	0.0198	0	0.0227	0.0374	0	0.0129	0.0093	0.0401	0.0215	0.0468
Astrocytes	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0.0315	0.0369	0.0032	0.0032	0	0.0015	0	0	0	0	0	0.0215	0.1175	0.0175	0.0101	0.0099	0	0.0554	0.0505	0	0	0	0	0	0.0544	0	0	0	0	0.0564	0.0461	0.0908
B-cells	0.0366	0.0142	0.0342	0.0354	0.1018	0.0458	0.0311	0.0205	0.0114	0.0646	0.109	0.0599	0.0375	0.0502	0.0577	0.0388	0.0865	0.0454	0.0045	0.026	0.065	0	0.0246	0.0296	0.048	0.0199	0.0616	0	0.0533	0.0351	0.0116	0	0.0075	0.0135	0	0.028	0.018	0.0152	0.0437	0.0222	0	0.0194	0.0408	0	0.0223	0.0327	0	0	0.0377	0	0.0536
Basophils	0	0	0.0701	0.0693	0.0446	0.0355	0.0975	0.0145	0.1989	0	0	0.0665	0	0	0.0492	0	0.1631	0	0.1375	0.1877	0	0.1665	0.2106	0.0154	0.0115	0.2181	0.0174	0.3202	0.0977	0.0629	0	0.1805	0	0.084	0.1305	0.0526	0.1233	0.1909	0.1276	0.0023	0.1144	0.1267	0	0.1669	0	0.0475	0.0355	0	0.0149	0.2689	0.0545
CD4+ T-cells	0.1412	0.0501	0	0	0.1327	0.1348	0.0664	0.0961	0	0	0.1328	0.1	0.1024	0.0419	0	0	0.1185	0.1454	0.0893	0	0.0758	0.0466	0	0.0565	0.0984	0	0.0686	0	0	0.109	0.1235	0.0247	0.1319	0.0872	0	0.1255	0.1829	0	0.1068	0.1256	0	0.1425	0.1722	0	0.1182	0.1207	0	0.058	0.218	0	0.1329
CD4+ Tcm	0.0763	0	0	0	0	0	0.0399	0.0562	0	0	0	0	0.076	0.0206	0	0	0	0	0.0306	0	0	0	0	0	0.0024	0	0	0	0	0	0	0	0	0.0873	0	0	0.0512	0	0	0.1231	0	0	0.076	0	0	0.092	0	0	0.0537	0	0
CD4+ Tem	0.2998	0	0.2339	0	0.0147	0.1698	0.3485	0	0.2401	0	0	0.1988	0.3579	0	0.1183	0	0	0.1983	0.3922	0.1572	0.1682	0.3987	0.1233	0.1676	0.3508	0.0747	0.1121	0.2687	0.1952	0.2535	0.209	0.0317	0.059	0.3431	0.0799	0.2149	0.4227	0.0555	0.0702	0.2693	0.1601	0.1748	0.3808	0.0814	0.1328	0.3234	0.2395	0.1999	0.3345	0	0.084
CD4+ memory T-cells	0.2672	0.0685	0.0395	0	0.0039	0.1737	0.242	0.0296	0.054	0	0.0544	0.1924	0.2738	0.04	0.0508	0	0.0635	0.1902	0.2548	0.0537	0.1206	0.2808	0.0843	0.1604	0.2973	0.1575	0.1202	0.1575	0.0791	0.1802	0.3123	0.0857	0.2334	0.1856	0	0.082	0.3294	0.0907	0.1044	0.2682	0.0294	0.1237	0.3144	0	0.0763	0.2675	0.0833	0.1061	0.2883	0	0.1036
CD4+ naive T-cells	0.1038	0.387	0	0.182	0.216	0	0.0596	0.4016	0	0.159	0.1885	0	0.0751	0.371	0	0.1461	0.1778	0	0.0429	0	0	0	0	0	0.0178	0	0	0.0396	0	0	0	0	0	0.1029	0	0	0.0665	0	0	0.1369	0	0	0.106	0	0	0.1214	0	0	0.1409	0	0
CD8+ T-cells	0.1732	0.2634	0.2273	0.3908	0.1166	0	0.1465	0.2255	0.2294	0.3718	0.0994	0	0.14	0.1993	0.2581	0.3484	0.1494	0	0.1079	0.2841	0	0.0034	0.1807	0	0.0559	0.2683	0	0.1276	0.3064	0	0.122	0.1638	0	0.1201	0.1794	0	0.0147	0.2308	0	0.1231	0.295	0	0.0463	0.2125	0	0.1345	0.2683	0	0.1113	0.2183	0
