	HD1_eTconv_PBMCs	HD1_nTconv_PBMCs	HD1_effector_CD8posT_PBMCs	HD1_naive_CD8posT_PBMCs	HD1_nTreg_PBMCs	HD1_eTreg_PBMCs	HD2_eTconv_PBMCs	HD2_nTconv_PBMCs	HD2_effector_CD8posT_PBMCs	HD2_naive_CD8posT_PBMCs	HD2_nTreg_PBMCs	HD2_eTreg_PBMCs	HD3_eTconv_PBMCs	HD3_nTconv_PBMCs	HD3_effector_CD8posT_PBMCs	HD3_naive_CD8posT_PBMCs	HD3_nTreg_PBMCs	HD3_eTreg_PBMCs	NSCLC5_eTconv_TILs	NSCLC5_effector_CD8posT_TILs	NSCLC5_eTreg_TILs	NSCLC6_eTconv_TILs	NSCLC6_effector_CD8posT_TILs	NSCLC6_eTreg_TILs	NSCLC7_eTconv_TILs	NSCLC7_effector_CD8posT_TILs	NSCLC7_eTreg_TILs	NSCLC1_eTconv_PBMCs	NSCLC1_effector_CD8posT_PBMCs	NSCLC1_eTreg_PBMCs	NSCLC1_eTconv_TILs	NSCLC1_effector_CD8posT_TILs	NSCLC1_eTreg_TILs	NSCLC2_eTconv_PBMCs	NSCLC2_effector_CD8posT_PBMCs	NSCLC2_eTreg_PBMCs	NSCLC2_eTconv_TILs	NSCLC2_effector_CD8posT_TILs	NSCLC2_eTreg_TILs	NSCLC3_eTconv_PBMCs	NSCLC3_effector_CD8posT_PBMCs	NSCLC3_eTreg_PBMCs	NSCLC3_eTconv_TILs	NSCLC3_effector_CD8posT_TILs	NSCLC3_eTreg_TILs	NSCLC4_eTconv_PBMCs	NSCLC4_effector_CD8posT_PBMCs	NSCLC4_eTreg_PBMCs	NSCLC4_eTconv_TILs	NSCLC4_effector_CD8posT_TILs	NSCLC4_eTreg_TILs
Adipocytes	532.103133951637	663.205417006944	369.46745023938	361.633568063684	578.676398082612	425.927975569097	334.312942543399	334.089178996261	306.152300350222	427.598870250284	331.79203785773	578.682565347832	472.95753495001	540.962944264951	418.825547273705	424.561205070636	437.866680410092	505.932968723339	480.484466070368	314.552788025542	522.821233659756	349.375503556742	606.719416906188	298.038939045861	345.834988157534	422.167613585863	303.990433180158	582.815187826064	595.549412994615	364.778393004771	599.429221385743	301.297534368262	640.973597203695	183.298964010278	574.11198591329	366.207370374378	589.585413140757	478.120021629789	689.360646848102	471.911551813431	435.351477822242	519.86410486798	229.653600832341	464.389714932594	534.242047730479	56.3327494171571	388.694099429158	415.982769656527	492.216488098733	431.325802781959	590.509675305461
Astrocytes	291.909681006977	120.875960506018	462.153711457389	380.132611848137	252.14787710219	359.695454968486	321.535385114135	138.710284598651	477.277907928768	256.006583267155	156.819818059868	315.513443383248	257.276595017882	115.170685279559	320.425439038964	230.344821183848	79.3275538660203	346.521816210202	603.300804669236	630.350597179619	549.917463215317	756.661594748293	631.126311852227	459.547507168193	494.788579992134	377.94400690855	486.765541767944	338.254631451313	468.303580714188	237.139813603723	600.604394966868	830.053064923882	638.86131535893	381.948888437857	529.450864309892	464.41423640812	661.956483768083	645.522067326116	639.26734658193	319.479230792881	466.106779783138	389.378847972782	488.101542654309	672.405376861531	546.83524228034	223.536448420619	389.293011953363	313.369311448794	720.283914974102	701.377362283333	899.851963705513
B-cells	433.771544307674	217.981515412101	532.016396787063	537.588016835733	713.510256934439	611.59906200482	490.665731120395	271.00859398772	512.67123583009	593.047922014878	702.590349697692	728.863790796436	441.918640026922	401.688177383486	575.502393989635	471.545617445073	770.29317964082	566.823893721457	351.097682065482	542.900294054379	502.485960867077	240.536163305033	561.164095277637	360.587981694759	428.507084828217	549.962047664396	571.763677177086	104.742119556099	665.935114437132	502.852921401089	282.229157610665	146.177486948457	387.616366724685	323.990458685929	311.456859425642	531.332938568704	355.564079713048	489.434589266069	564.409701561557	380.222527327117	468.641469543409	644.551770693265	427.179227782408	246.799217688556	386.764039480058	423.487773803191	381.262465252039	291.358751460645	436.772946808082	357.30611547007	649.030690935875
Basophils	598.840203428297	627.745338202826	795.978497849961	742.585317751989	723.191613902052	724.314422294112	783.783523059673	652.649367622819	975.746689421361	538.719684338122	619.345205556429	762.615483925019	561.675093564265	575.329900391892	763.344725221008	590.233459706008	888.423875707032	694.242116323832	897.387449976419	906.394068356328	624.273436340317	886.592360986494	976.639456794752	631.306517894353	685.148164370448	973.588726022142	730.501774045524	1229.84427743005	854.638198315441	805.852540953208	372.233565362678	900.590163887876	455.772129911813	780.519640790901	896.125956487921	806.114808436991	834.678797521257	977.56827604193	798.805629417988	711.562775438758	983.079073163612	977.272673282291	608.193422715399	951.698029771397	621.727526975743	746.262675264668	812.871362814203	650.360730752801	653.153336206511	1058.68408985587	686.91207207515
CD4+ T-cells	989.299184394539	926.968612998665	309.380451952045	498.458571657405	1119.57354002182	849.521832468918	713.824779769194	895.786109601474	255.748430905745	451.226033526623	1078.26595417124	751.657229187541	811.91127996624	880.58762963237	284.865159135508	381.388501799004	1004.59403833139	871.278526771641	777.792855964475	499.489660122804	559.059699343687	613.106633361668	359.974860719991	561.898175065517	889.320124931255	511.509954850894	581.747403128435	478.323103373737	468.409664763442	922.407640636855	604.761862370524	534.515368546911	467.295609330896	808.144093711618	53.5158526119406	939.159101895594	1010.49192458935	602.695321190532	692.364132091899	936.473500362146	441.11820278294	1018.16492802836	1061.44165245096	418.72798126906	831.017845936275	929.282199097671	458.447983984019	787.44784730806	1148.2726371894	481.5966725311	871.077553391367
CD4+ Tcm	1255.21884768632	879.470968097986	437.568086445928	391.942512016962	1011.56929679545	808.433133887712	1123.34512337955	1023.09953114156	409.432851752457	354.294468257003	932.968214210608	815.253032093819	1241.66691087965	956.630321783249	441.406200143071	399.323879409689	919.825301407364	891.578419594005	1047.12422358105	519.27369598737	646.003324713079	926.245571062742	415.608549854512	620.20117902878	1061.45081254344	474.352387944866	486.235779745276	875.443559602144	779.935006895494	1113.99794954077	558.031619663631	339.720650152224	317.947756360499	1254.94740596198	399.7092996493	1076.34405827107	1183.2046283716	570.082306980023	483.064505202253	1368.70201855438	685.949510367548	993.350326641111	1283.4986683478	350.182265852246	801.063200255888	1295.96372239641	698.925957326584	904.195036474605	1239.88020445326	376.19049220792	602.121952964389
CD4+ Tem	1486.19771858827	589.804389135134	1336.94262129655	262.049406714131	740.518091736695	1178.16864881277	1554.17966777201	650.693730181456	1508.67629910837	225.93261302261	597.199706259271	1316.02102017664	1620.21078944399	465.529588282028	1127.67394504022	113.231576621919	670.871999716449	1282.07264002389	1564.08504277135	1218.8054001485	1102.78168162648	1612.16438562343	1127.45302517883	1192.45168425391	1547.37122890434	974.549156998842	1046.84237712867	1260.41858231855	1241.05402649299	1350.60916345703	1069.30591713099	864.960257982371	863.129024607826	1557.96912328437	935.629098273574	1280.20762108127	1717.79482913967	967.873898781265	940.045619495898	1450.11424788542	1201.88870774707	1210.78402942016	1686.58881683494	964.610950257042	1073.32250218051	1544.83592121499	1393.72679927815	1249.44133661184	1564.37330081674	776.750719308334	924.05303205652
CD4+ memory T-cells	1394.40241695378	857.531669740943	893.952786687567	307.142397024469	654.43494237399	987.342586336905	1310.78588251794	744.56508133649	944.076402142831	310.840289987516	812.337128809201	1035.91818564582	1380.24005682525	805.720515122591	975.305083085254	392.203257810876	811.085476181305	1021.24480241555	1260.20707770337	908.185173375423	705.620680601134	1354.93679736866	980.141606380732	890.869055853179	1495.15838102084	1176.88083157255	753.477094975525	1134.16934026606	1036.21534426477	1059.13705549868	1213.95106833422	848.981692195935	838.745450951597	1139.8130021063	572.067568180997	804.778661512363	1419.46482574647	1058.57160652649	743.205527822009	1387.35419436004	956.928893293663	950.45271909406	1473.07925077058	611.975570038602	724.996754755819	1385.47962005858	1071.80485252473	921.512537508439	1325.56379781832	680.884291520368	727.518325496773
CD4+ naive T-cells	1289.42374726924	1682.95065406383	508.107969830078	1371.77706422181	1400.60961477109	625.25814012319	1153.65665210268	1717.76669546955	556.095053442834	1336.50847785986	1358.42188263194	682.655679284422	1181.39180560056	1636.39194519746	615.261660077941	1288.77937660637	1302.1145863176	818.60658727794	1112.85006484968	909.24048849039	494.498419372597	916.713937310266	623.137383433962	560.272416131739	1079.1128634065	699.656699947146	432.189266658386	991.233507738106	837.948394384637	1028.82589955185	637.835152780267	692.863967800412	160.079788178757	1283.55508632389	512.464494942534	1002.94729698549	1224.99206532689	823.816181317766	577.480053200316	1367.02228670196	833.631660774458	980.365691099183	1349.14831985452	939.854936527711	869.412010326721	1306.00276704003	737.215001084106	911.130559220915	1398.30040003304	762.457219421372	829.558602997463
CD8+ T-cells	1289.24764673782	1478.64494673421	1919.14475807145	2479.08346859705	993.964893480094	572.127482234287	1176.29198365871	1382.56326539311	2059.79009938564	2472.18121227666	1027.78366608738	465.545868343768	1056.61523508359	1316.12716002474	2095.87880504071	2424.84559416941	1134.14811228693	646.295264687619	1079.8235415652	2007.2113577004	324.929710130496	726.783251601313	1752.30531105565	341.633123729055	958.807209845556	1874.08379443812	319.827233805059	1160.92767794386	1983.2966843758	543.970949417184	1088.72002892922	1503.66894083526	210.641785551003	1095.94788317551	1877.37693523766	595.662550295979	772.1919169903	1810.89742259744	388.628473669902	1072.18727345246	2079.05949783362	651.984826577207	900.933402346848	1857.32317464614	432.386092778389	1106.23990129372	1948.81060544727	641.089339851928	1033.81056980617	1701.81097450158	217.077144529002
